ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 11 45358 13 45613 14 45869 14 46124 15 46380 15 46636 14 46892 13 47149 11 47406 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 5 50277 12 50532 13 50787 15 51042 17 51297 18 51552 19 51808 19 52063 20 52319 20 52575 20 52831 19 53087 18 53344 17 53601 15 53857 14 54115 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11145 11 11399 14 11655 14 11910 15 12165 16 12421 16 12677 15 12932 16 13188 15 13444 15 13700 14 13956 13 14213 11 14470 8 14727 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30877 4 31132 6 31375 8 31387 8 31629 12 31643 8 31882 25 32137 26 32392 27 32647 28 32903 27 33158 27 33414 21 33670 21 33926 21 34181 21 34438 19 34694 19 34950 17 35207 15 35464 12 35721 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51095 9 51349 12 51604 13 51859 14 52115 14 52370 14 52625 15 52881 14 53136 15 53392 14 53647 14 53903 13 54159 12 54416 10 54673 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47751 1 48269 3 48788 4 49307 6 49826 6 50344 7 50364 3 50863 8 50881 7 51382 8 51399 10 51901 8 51918 11 52420 8 52436 12 52939 9 52955 13 53458 12 53474 13 53977 14 53992 15 54496 31 55015 32 55534 32 56053 32 56572 33 57091 33 57610 33 58129 33 58648 33 59167 33 59686 33 60205 33 60724 33 61243 33 61762 34 62281 33 62800 33 63319 33 63838 33 64357 33 64877 32 65396 32 65915 32 66434 32 66953 32 67472 33 67991 35 68510 35 69029 36 69548 37 70067 38 70586 39 71106 38 71625 39 72144 39 72663 40 73182 42 73702 41 74221 42 74740 42 75259 43 75778 45 75828 7 76297 47 76346 9 76816 60 77335 61 77854 62 78373 62 78892 62 79412 61 79931 61 80450 62 80969 62 81488 62 82007 62 82526 63 83045 63 83565 62 84084 62 84603 62 85123 61 85643 60 86162 60 86682 59 87201 58 87720 58 88240 57 88759 57 89279 55 89799 54 90318 54 90838 53 91357 53 91876 54 92395 55 92915 55 93434 56 93955 54 94474 55 94994 56 95513 57 96033 58 96552 60 97072 59 97592 59 98111 60 98631 59 99150 60 99669 60 100188 61 100708 60 101227 61 101746 62 102265 64 102785 63 103305 63 103824 64 104344 63 104864 63 105384 62 105904 62 106424 62 106945 61 107466 60 107987 58 108509 56 109030 55 109550 55 110070 55 110590 55 111110 55 111630 56 112150 57 112669 58 113189 58 113709 58 114229 58 114749 58 115268 59 115788 58 116308 58 116828 57 117347 58 117867 57 118386 57 118906 57 119425 57 119946 56 120465 56 120985 56 121504 57 122023 58 122543 58 123062 59 123582 58 124102 58 124621 58 125141 58 125660 60 126181 58 126251 8 126702 57 126769 10 127222 57 127286 13 127742 59 127804 15 128262 77 128782 24 128811 47 129301 20 129337 41 129820 18 129858 39 130339 17 130380 34 130860 10 130923 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117297 1 117815 4 118334 5 118853 6 119371 7 119890 8 120409 8 120928 8 121447 8 121966 8 122485 8 123004 8 123523 9 124042 9 124561 9 125080 9 125599 9 126118 9 126637 9 127156 9 127675 9 128194 9 128713 9 129232 8 129752 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24420 2 24934 11 25451 14 25968 18 26486 20 27003 22 27521 24 28039 25 28557 26 29075 27 29594 27 30112 28 30630 29 31149 29 31668 29 32187 29 32706 28 33225 28 33744 27 34263 25 34782 25 35302 23 35821 22 36341 19 36861 17 37381 15 37900 13 38420 11 38944 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117328 3 117844 9 118362 11 118879 14 119397 16 119915 18 120434 19 120953 19 121471 21 121990 21 122509 21 123028 22 123547 22 124066 22 124585 23 125104 23 125623 23 126142 23 126661 22 127180 22 127699 22 128218 22 128737 22 129256 21 129775 21 130296 17 130818 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6278 7 6796 9 7312 14 7831 15 8349 17 8868 17 9387 17 9906 18 10424 19 10943 20 11461 23 11980 23 12498 25 13017 25 13536 25 14055 25 14574 25 15093 24 15612 24 16131 24 16650 23 17170 22 17689 21 18208 20 18728 18 19247 18 19766 18 20286 16 20805 16 21324 15 21843 14 22362 13 22882 12 23402 9 23924 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28605 12 29122 16 29639 20 30156 23 30675 24 31193 25 31712 25 32230 26 32748 27 33266 28 33785 27 34304 26 34823 25 35342 24 35861 24 36380 23 36898 22 37417 21 37936 21 38455 20 38974 19 39493 18 40013 16 40532 15 41052 12 41574 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46265 13 46782 17 47299 21 47818 22 48336 24 48854 26 49372 27 49891 27 50409 28 50928 28 51447 28 51966 28 52485 27 53004 26 53524 24 54044 22 54564 19 55085 15 55609 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8379 5 8897 7 9415 9 9934 10 10452 12 10970 14 11488 16 12007 16 12526 16 13045 17 13564 17 14083 17 14603 17 15123 17 15643 16 16162 17 16682 16 17201 16 17720 16 18240 15 18759 15 19279 14 19799 14 20318 14 20837 14 21356 14 21876 13 22395 12 22914 12 23434 11 23955 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63409 7 63926 12 64443 15 64961 17 65480 17 65998 19 66517 20 67034 22 67553 23 68072 23 68590 24 69109 24 69628 24 70147 24 70666 25 71185 25 71704 25 72223 25 72742 25 73261 24 73781 23 74300 23 74820 22 75339 22 75859 21 76378 20 76898 18 77417 17 77936 17 78455 17 78975 15 79494 15 80015 11 80535 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,88 2 604 8 1123 9 1643 8 2162 7 2682 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93545 10 94062 14 94581 15 95099 17 95618 17 96137 18 96656 18 97175 19 97694 20 98213 20 98732 21 99251 21 99770 21 100289 22 100808 23 101327 24 101846 24 102366 23 102885 23 103405 22 103925 21 104445 19 104965 18 105485 16 106006 13 106526 11 107049 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20911 3 21427 9 21945 12 22463 14 22981 16 23499 18 24002 3 24018 19 24518 9 24536 20 25035 13 25055 21 25554 14 25574 21 26073 16 26093 22 26592 16 26612 23 27111 17 27130 24 27630 44 28149 44 28668 44 29187 44 29706 44 30225 44 30744 44 31263 44 31782 44 32301 44 32821 43 33341 42 33861 41 34380 19 34404 16 34899 19 34924 13 35419 18 35445 10 35938 18 36459 16 36979 15 37499 13 38020 10 38541 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49962 5 50477 12 50994 15 51512 16 52030 18 52548 19 53066 21 53584 22 54103 22 54621 22 55140 22 55658 23 56176 24 56694 25 57213 24 57732 24 58251 24 58770 23 59289 23 59808 22 60327 21 60846 20 61365 20 61884 20 62403 19 62922 19 63441 18 63961 16 64481 14 65001 13 65520 12 66040 9 66560 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127 23 645 25 1164 25 1683 26 2203 25 2722 25 3242 24 3762 22 4282 21 4801 21 5321 20 5840 20 6360 19 6880 17 7401 14 7921 12 8442 8 8963 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112246 12 112762 21 113279 25 113797 28 114315 30 114834 31 115352 33 115871 33 116390 34 116909 34 117428 34 117947 34 118466 34 118985 34 119504 34 120024 32 120543 32 121063 30 121584 26 122105 22 122635 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81147 6 81664 10 82182 12 82700 15 83219 16 83738 16 84256 17 84774 19 85292 20 85811 20 86330 20 86849 20 87368 20 87888 19 88407 19 88927 18 89446 17 89964 18 90467 33 90984 35 91501 36 92019 35 92537 35 93056 32 93574 31 94093 30 94612 30 95131 30 95650 30 96169 30 96689 29 97208 29 97727 29 98246 28 98765 28 99285 27 99806 24 100326 22 100845 21 101365 19 101886 16 102407 12 102931 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,168 13 686 16 1204 18 1724 18 2243 19 2762 20 3281 20 3801 19 4320 20 4840 19 5361 17 5880 17 6399 18 6919 18 7438 19 7957 19 8477 18 8997 17 9516 16 10036 15 10555 14 11075 12 11596 10 12116 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57274 5 57789 12 58307 15 58825 17 59343 19 59861 20 60379 22 60898 23 61417 23 61936 24 62455 24 62974 24 63493 23 64011 24 64531 22 65050 21 65569 20 66088 19 66607 17 67127 15 67648 10 68170 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89480 2 89995 9 90513 12 91030 16 91548 18 92067 19 92586 20 93105 20 93624 21 94143 22 94662 23 95181 24 95700 24 96219 24 96738 24 97257 25 97776 25 98295 25 98814 26 99334 25 99854 24 100374 23 100893 22 101413 21 101932 21 102452 20 102973 18 103492 17 104012 16 104532 14 105053 11 105575 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,35513 5 36030 9 36547 12 37065 15 37584 16 38103 16 38621 17 39140 17 39658 19 40177 19 40695 20 41213 22 41732 22 42251 21 42770 21 43289 21 43808 20 44327 20 44846 19 45365 19 45884 18 46403 17 46923 15 47444 11 47965 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63536 8 64053 12 64572 12 65090 14 65609 14 66127 16 66645 18 67163 19 67682 20 68201 20 68720 20 69239 20 69758 20 70277 20 70796 20 71315 20 71834 20 72353 21 72872 20 73391 20 73910 20 74429 20 74948 20 75467 20 75986 20 76505 20 77024 20 77543 20 78062 20 78581 20 79100 19 79619 19 80139 17 80659 15 81178 15 81698 13 82217 13 82737 11 83258 6 83780 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,227 24 744 27 1263 29 1782 30 2301 30 2820 31 3339 31 3859 30 4379 29 4899 28 5418 28 5937 28 6456 28 6975 28 7495 27 8014 26 8534 25 9053 24 9573 22 10092 22 10612 20 11131 20 11650 20 12169 19 12688 17 13208 15 13729 13 14249 10 14773 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113915 6 114432 10 114949 14 115466 16 115985 17 116503 18 117020 20 117538 21 118056 22 118574 23 119092 24 119609 26 120127 27 120645 28 121163 30 121682 30 122201 30 122719 31 123238 33 123757 36 124275 41 124794 43 125313 45 125832 46 126351 47 126870 48 127390 48 127909 49 128429 48 128948 49 129468 48 129990 45 130520 33 131042 28
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29308 8 29825 13 30343 16 30861 18 31380 20 31900 19 32419 20 32938 21 33457 22 33977 22 34496 22 35016 21 35535 22 36055 21 36574 21 37093 21 37612 20 38131 20 38651 19 39170 18 39689 17 40210 14 40730 12 41250 10 41772 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84329 6 84846 11 85363 15 85881 18 86399 20 86918 21 87437 23 87956 23 88475 24 88994 24 89513 24 90032 25 90551 25 91071 24 91590 24 92110 23 92630 21 93149 21 93669 20 94189 19 94710 16 95230 14 95752 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52688 3 53203 11 53718 19 54236 21 54754 24 55272 26 55790 28 56308 30 56827 32 57346 32 57865 33 58383 34 58902 34 59422 33 59941 34 60460 34 60979 34 61498 34 62018 32 62537 32 63058 30 63578 29 64098 27 64618 25 65139 21 65659 19 66181 13 66705 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24170 5 24684 14 25201 18 25718 21 26235 24 26754 24 27272 25 27791 26 28308 28 28827 28 29345 29 29864 29 30383 29 30902 29 31421 29 31940 29 32459 29 32978 29 33497 28 34016 28 34535 28 35054 27 35574 25 36094 23 36614 21 37134 20 37653 18 38174 14 38695 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,79701 1 80216 10 80733 14 81251 17 81769 19 82288 21 82807 22 83326 23 83845 23 84365 23 84885 23 85404 24 85923 25 86443 24 86962 24 87481 24 88000 24 88520 23 89040 21 89561 18 90081 15 90605 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113452 5 113967 11 114485 14 115003 17 115520 20 116039 20 116557 23 117076 24 117595 24 118114 25 118633 25 119152 27 119671 28 120190 28 120709 28 121228 28 121747 29 122266 29 122786 28 123305 28 123826 26 124346 25 124866 24 125387 21 125909 18 126429 16 126949 13 127469 11 127987 11 128503 14 129021 16 129539 19 130058 20 130577 19 131098 15
